entity_name,entity_ID,origin_year,origin_period,dev_year,dev_month,cumulative_paid,incremental_paid,premium
Fremont Ind,3,1992,5,1,12,155870,155870,1194252
Fremont Ind,3,1992,5,2,24,372894,217024,1194252
Fremont Ind,3,1992,5,3,36,525418,152524,1194252
Fremont Ind,3,1992,5,4,48,623751,98333,1194252
Fremont Ind,3,1992,5,5,60,696758,73007,1194252
Fremont Ind,3,1992,5,6,72,734912,38154,1194252
Fremont Ind,3,1993,6,1,12,141839,141839,1266953
Fremont Ind,3,1993,6,2,24,335381,193542,1266953
Fremont Ind,3,1993,6,3,36,463993,128612,1266953
Fremont Ind,3,1993,6,4,48,548112,84119,1266953
Fremont Ind,3,1993,6,5,60,606249,58137,1266953
Fremont Ind,3,1994,7,1,12,150791,150791,1134023
Fremont Ind,3,1994,7,2,24,344561,193770,1134023
Fremont Ind,3,1994,7,3,36,475361,130800,1134023
Fremont Ind,3,1994,7,4,48,558342,82981,1134023
Fremont Ind,3,1995,8,1,12,130252,130252,881315
Fremont Ind,3,1995,8,2,24,300109,169857,881315
Fremont Ind,3,1995,8,3,36,408663,108554,881315
Fremont Ind,3,1996,9,1,12,115351,115351,710579
Fremont Ind,3,1996,9,2,24,274187,158836,710579
Fremont Ind,3,1997,10,1,12,143553,143553,760203
Great Amer,4,1988,1,1,12,56977,56977,469037
Great Amer,4,1988,1,2,24,141386,84409,469037
Great Amer,4,1988,1,3,36,201787,60401,469037
Great Amer,4,1988,1,4,48,240104,38317,469037
Great Amer,4,1988,1,5,60,261414,21310,469037
Great Amer,4,1988,1,6,72,273389,11975,469037
Great Amer,4,1988,1,7,84,288317,14928,469037
Great Amer,4,1988,1,8,96,292405,4088,469037
Great Amer,4,1988,1,9,108,298348,5943,469037
Great Amer,4,1988,1,10,120,302298,3950,469037
Great Amer,4,1989,2,1,12,59076,59076,481191
Great Amer,4,1989,2,2,24,150054,90978,481191
Great Amer,4,1989,2,3,36,218355,68301,481191
Great Amer,4,1989,2,4,48,256488,38133,481191
Great Amer,4,1989,2,5,60,276718,20230,481191
Great Amer,4,1989,2,6,72,288741,12023,481191
Great Amer,4,1989,2,7,84,296879,8138,481191
Great Amer,4,1989,2,8,96,302577,5698,481191
Great Amer,4,1989,2,9,108,307226,4649,481191
Great Amer,4,1989,2,10,120,310402,3176,481191
Great Amer,4,1990,3,1,12,72447,72447,497297
Great Amer,4,1990,3,2,24,183138,110691,497297
Great Amer,4,1990,3,3,36,253573,70435,497297
Great Amer,4,1990,3,4,48,292578,39005,497297
Great Amer,4,1990,3,5,60,311581,19003,497297
Great Amer,4,1990,3,6,72,323156,11575,497297
Great Amer,4,1990,3,7,84,330318,7162,497297
Great Amer,4,1990,3,8,96,335680,5362,497297
Great Amer,4,1990,3,9,108,339787,4107,497297
Great Amer,4,1990,3,10,120,342955,3168,497297
Great Amer,4,1991,4,1,12,72940,72940,495511
Great Amer,4,1991,4,2,24,175905,102965,495511
Great Amer,4,1991,4,3,36,242041,66136,495511
Great Amer,4,1991,4,4,48,277654,35613,495511
Great Amer,4,1991,4,5,60,294878,17224,495511
Great Amer,4,1991,4,6,72,307116,12238,495511
Great Amer,4,1991,4,7,84,315215,8099,495511
Great Amer,4,1991,4,8,96,319716,4501,495511
Great Amer,4,1991,4,9,108,323431,3715,495511
Great Amer,4,1991,4,10,120,330027,6596,495511
Great Amer,4,1992,5,1,12,65734,65734,527834
Great Amer,4,1992,5,2,24,155131,89397,527834
Great Amer,4,1992,5,3,36,211387,56256,527834
Great Amer,4,1992,5,4,48,237923,26536,527834
Great Amer,4,1992,5,5,60,253210,15287,527834
Great Amer,4,1992,5,6,72,263468,10258,527834
Great Amer,4,1992,5,7,84,272456,8988,527834
Great Amer,4,1992,5,8,96,276472,4016,527834
Great Amer,4,1992,5,9,108,278678,2206,527834
Great Amer,4,1992,5,10,120,280686,2008,527834
Great Amer,4,1993,6,1,12,63489,63489,569190
Great Amer,4,1993,6,2,24,140331,76842,569190
Great Amer,4,1993,6,3,36,190009,49678,569190
Great Amer,4,1993,6,4,48,218936,28927,569190
Great Amer,4,1993,6,5,60,237472,18536,569190
Great Amer,4,1993,6,6,72,247237,9765,569190
Great Amer,4,1993,6,7,84,252845,5608,569190
Great Amer,4,1993,6,8,96,256406,3561,569190
Great Amer,4,1993,6,9,108,259647,3241,569190
Great Amer,4,1993,6,10,120,261744,2097,569190
Great Amer,4,1994,7,1,12,65539,65539,604117
Great Amer,4,1994,7,2,24,154791,89252,604117
Great Amer,4,1994,7,3,36,215303,60512,604117
Great Amer,4,1994,7,4,48,250197,34894,604117
Great Amer,4,1994,7,5,60,273260,23063,604117
Great Amer,4,1994,7,6,72,285268,12008,604117
Great Amer,4,1994,7,7,84,293191,7923,604117
Great Amer,4,1994,7,8,96,297555,4364,604117
Great Amer,4,1994,7,9,108,301056,3501,604117
Great Amer,4,1994,7,10,120,304009,2953,604117
Great Amer,4,1995,8,1,12,65816,65816,451094
Great Amer,4,1995,8,2,24,154019,88203,451094
Great Amer,4,1995,8,3,36,215987,61968,451094
Great Amer,4,1995,8,4,48,250736,34749,451094
Great Amer,4,1995,8,5,60,269389,18653,451094
Great Amer,4,1995,8,6,72,281298,11909,451094
Great Amer,4,1995,8,7,84,288774,7476,451094
Great Amer,4,1995,8,8,96,294609,5835,451094
Great Amer,4,1995,8,9,108,298727,4118,451094
Great Amer,4,1995,8,10,120,304268,5541,451094
Great Amer,4,1996,9,1,12,56993,56993,391321
Great Amer,4,1996,9,2,24,141512,84519,391321
Great Amer,4,1996,9,3,36,197684,56172,391321
Great Amer,4,1996,9,4,48,227444,29760,391321
Great Amer,4,1996,9,5,60,246328,18884,391321
Great Amer,4,1996,9,6,72,257280,10952,391321
Great Amer,4,1996,9,7,84,264802,7522,391321
Great Amer,4,1996,9,8,96,269899,5097,391321
Great Amer,4,1996,9,9,108,275254,5355,391321
Great Amer,4,1996,9,10,120,278833,3579,391321
Great Amer,4,1997,10,1,12,64006,64006,401440
Great Amer,4,1997,10,2,24,163058,99052,401440
Great Amer,4,1997,10,3,36,226105,63047,401440
Great Amer,4,1997,10,4,48,262965,36860,401440
Great Amer,4,1997,10,5,60,284885,21920,401440
Great Amer,4,1997,10,6,72,299299,14414,401440
Great Amer,4,1997,10,7,84,309627,10328,401440
Great Amer,4,1997,10,8,96,315590,5963,401440
Great Amer,4,1997,10,9,108,321177,5587,401440
Great Amer,4,1997,10,10,120,325877,4700,401440
State Farm,5,1988,1,1,12,22190,22190,177104
State Farm,5,1988,1,2,24,60834,38644,177104
State Farm,5,1988,1,3,36,85104,24270,177104
State Farm,5,1988,1,4,48,100151,15047,177104
State Farm,5,1988,1,5,60,108812,8661,177104
State Farm,5,1988,1,6,72,114967,6155,177104
State Farm,5,1988,1,7,84,118790,3823,177104
State Farm,5,1988,1,8,96,121558,2768,177104
State Farm,5,1988,1,9,108,123492,1934,177104
State Farm,5,1988,1,10,120,125049,1557,177104
State Farm,5,1989,2,1,12,26542,26542,201118
State Farm,5,1989,2,2,24,77798,51256,201118
State Farm,5,1989,2,3,36,106407,28609,201118
State Farm,5,1989,2,4,48,122422,16015,201118
State Farm,5,1989,2,5,60,133359,10937,201118
State Farm,5,1989,2,6,72,138599,5240,201118
State Farm,5,1989,2,7,84,143029,4430,201118
State Farm,5,1989,2,8,96,145712,2683,201118
State Farm,5,1989,2,9,108,147358,1646,201118
State Farm,5,1989,2,10,120,149252,1894,201118
State Farm,5,1990,3,1,12,32977,32977,246010
State Farm,5,1990,3,2,24,100494,67517,246010
State Farm,5,1990,3,3,36,134886,34392,246010
State Farm,5,1990,3,4,48,157758,22872,246010
State Farm,5,1990,3,5,60,168991,11233,246010
State Farm,5,1990,3,6,72,178065,9074,246010
State Farm,5,1990,3,7,84,182787,4722,246010
State Farm,5,1990,3,8,96,187760,4973,246010
State Farm,5,1990,3,9,108,192576,4816,246010
State Farm,5,1990,3,10,120,196092,3516,246010
State Farm,5,1991,4,1,12,38604,38604,286019
State Farm,5,1991,4,2,24,114428,75824,286019
State Farm,5,1991,4,3,36,157103,42675,286019
State Farm,5,1991,4,4,48,181322,24219,286019
State Farm,5,1991,4,5,60,197411,16089,286019
State Farm,5,1991,4,6,72,208804,11393,286019
State Farm,5,1991,4,7,84,213396,4592,286019
State Farm,5,1991,4,8,96,221596,8200,286019
State Farm,5,1991,4,9,108,226756,5160,286019
State Farm,5,1991,4,10,120,229642,2886,286019
State Farm,5,1992,5,1,12,42466,42466,340183
State Farm,5,1992,5,2,24,125820,83354,340183
State Farm,5,1992,5,3,36,164776,38956,340183
State Farm,5,1992,5,4,48,189045,24269,340183
State Farm,5,1992,5,5,60,204377,15332,340183
State Farm,5,1992,5,6,72,213904,9527,340183
State Farm,5,1992,5,7,84,221659,7755,340183
State Farm,5,1992,5,8,96,228415,6756,340183
State Farm,5,1992,5,9,108,231760,3345,340183
State Farm,5,1992,5,10,120,235831,4071,340183
State Farm,5,1993,6,1,12,46447,46447,418755
State Farm,5,1993,6,2,24,116764,70317,418755
State Farm,5,1993,6,3,36,154897,38133,418755
State Farm,5,1993,6,4,48,179419,24522,418755
State Farm,5,1993,6,5,60,193676,14257,418755
State Farm,5,1993,6,6,72,206073,12397,418755
State Farm,5,1993,6,7,84,212193,6120,418755
State Farm,5,1993,6,8,96,216710,4517,418755
State Farm,5,1993,6,9,108,220900,4190,418755
State Farm,5,1993,6,10,120,224868,3968,418755
State Farm,5,1994,7,1,12,41368,41368,366031
State Farm,5,1994,7,2,24,100344,58976,366031
State Farm,5,1994,7,3,36,132021,31677,366031
State Farm,5,1994,7,4,48,151081,19060,366031
State Farm,5,1994,7,5,60,165667,14586,366031
State Farm,5,1994,7,6,72,173167,7500,366031
State Farm,5,1994,7,7,84,177960,4793,366031
State Farm,5,1994,7,8,96,181932,3972,366031
State Farm,5,1994,7,9,108,185039,3107,366031
State Farm,5,1994,7,10,120,190572,5533,366031
State Farm,5,1995,8,1,12,35719,35719,338186
State Farm,5,1995,8,2,24,83216,47497,338186
State Farm,5,1995,8,3,36,111268,28052,338186
State Farm,5,1995,8,4,48,127221,15953,338186
State Farm,5,1995,8,5,60,136597,9376,338186
State Farm,5,1995,8,6,72,142371,5774,338186
State Farm,5,1995,8,7,84,146359,3988,338186
State Farm,5,1995,8,8,96,148538,2179,338186
State Farm,5,1995,8,9,108,151476,2938,338186
State Farm,5,1995,8,10,120,153299,1823,338186
State Farm,5,1996,9,1,12,28746,28746,286631
State Farm,5,1996,9,2,24,66033,37287,286631
State Farm,5,1996,9,3,36,87748,21715,286631
State Farm,5,1996,9,4,48,100432,12684,286631
State Farm,5,1996,9,5,60,108442,8010,286631
State Farm,5,1996,9,6,72,116297,7855,286631
State Farm,5,1996,9,7,84,119566,3269,286631
State Farm,5,1996,9,8,96,121885,2319,286631
State Farm,5,1996,9,9,108,124377,2492,286631
State Farm,5,1996,9,10,120,126403,2026,286631
State Farm,5,1997,10,1,12,25265,25265,245378
State Farm,5,1997,10,2,24,61872,36607,245378
State Farm,5,1997,10,3,36,81038,19166,245378
State Farm,5,1997,10,4,48,92519,11481,245378
State Farm,5,1997,10,5,60,99006,6487,245378
State Farm,5,1997,10,6,72,103738,4732,245378
State Farm,5,1997,10,7,84,106810,3072,245378
State Farm,5,1997,10,8,96,108329,1519,245378
State Farm,5,1997,10,9,108,110509,2180,245378
State Farm,5,1997,10,10,120,111592,1083,245378
General Accident,6,1988,1,1,12,24030,24030,133298
General Accident,6,1988,1,2,24,53569,29539,133298
General Accident,6,1988,1,3,36,69695,16126,133298
General Accident,6,1988,1,4,48,79813,10118,133298
General Accident,6,1988,1,5,60,87078,7265,133298
General Accident,6,1988,1,6,72,93746,6668,133298
General Accident,6,1988,1,7,84,97481,3735,133298
General Accident,6,1988,1,8,96,99515,2034,133298
General Accident,6,1988,1,9,108,101992,2477,133298
General Accident,6,1988,1,10,120,103047,1055,133298
General Accident,6,1989,2,1,12,25782,25782,162011
General Accident,6,1989,2,2,24,64196,38414,162011
General Accident,6,1989,2,3,36,85089,20893,162011
General Accident,6,1989,2,4,48,101330,16241,162011
General Accident,6,1989,2,5,60,112216,10886,162011
General Accident,6,1989,2,6,72,118928,6712,162011
General Accident,6,1989,2,7,84,122574,3646,162011
General Accident,6,1989,2,8,96,125884,3310,162011
General Accident,6,1989,2,9,108,127901,2017,162011
General Accident,6,1990,3,1,12,34086,34086,214332
General Accident,6,1990,3,2,24,82242,48156,214332
General Accident,6,1990,3,3,36,111416,29174,214332
General Accident,6,1990,3,4,48,130176,18760,214332
General Accident,6,1990,3,5,60,142245,12069,214332
General Accident,6,1990,3,6,72,149267,7022,214332
General Accident,6,1990,3,7,84,155502,6235,214332
General Accident,6,1990,3,8,96,158300,2798,214332
General Accident,6,1991,4,1,12,36176,36176,236351
General Accident,6,1991,4,2,24,91837,55661,236351
General Accident,6,1991,4,3,36,122182,30345,236351
General Accident,6,1991,4,4,48,142440,20258,236351
General Accident,6,1991,4,5,60,155419,12979,236351
General Accident,6,1991,4,6,72,164524,9105,236351
General Accident,6,1991,4,7,84,169534,5010,236351
General Accident,6,1992,5,1,12,40800,40800,268524
General Accident,6,1992,5,2,24,101555,60755,268524
General Accident,6,1992,5,3,36,131473,29918,268524
General Accident,6,1992,5,4,48,150580,19107,268524
General Accident,6,1992,5,5,60,163028,12448,268524
General Accident,6,1992,5,6,72,171453,8425,268524
General Accident,6,1993,6,1,12,43742,43742,295947
General Accident,6,1993,6,2,24,98648,54906,295947
General Accident,6,1993,6,3,36,125624,26976,295947
General Accident,6,1993,6,4,48,142872,17248,295947
General Accident,6,1993,6,5,60,153626,10754,295947
General Accident,6,1994,7,1,12,42018,42018,319120
General Accident,6,1994,7,2,24,91986,49968,319120
General Accident,6,1994,7,3,36,118959,26973,319120
General Accident,6,1994,7,4,48,134581,15622,319120
General Accident,6,1995,8,1,12,41740,41740,304341
General Accident,6,1995,8,2,24,87678,45938,304341
General Accident,6,1995,8,3,36,112076,24398,304341
General Accident,6,1996,9,1,12,42876,42876,315676
General Accident,6,1996,9,2,24,93394,50518,315676
General Accident,6,1997,10,1,12,46990,46990,300038
Hanover,7,1988,1,1,12,32697,32697,177558
Hanover,7,1988,1,2,24,73042,40345,177558
Hanover,7,1988,1,3,36,95214,22172,177558
Hanover,7,1988,1,4,48,110889,15675,177558
Hanover,7,1988,1,5,60,121333,10444,177558
Hanover,7,1988,1,6,72,127597,6264,177558
Hanover,7,1988,1,7,84,131657,4060,177558
Hanover,7,1988,1,8,96,134010,2353,177558
Hanover,7,1988,1,9,108,136363,2353,177558
Hanover,7,1988,1,10,120,138183,1820,177558
Hanover,7,1989,2,1,12,33033,33033,188230
Hanover,7,1989,2,2,24,76680,43647,188230
Hanover,7,1989,2,3,36,103770,27090,188230
Hanover,7,1989,2,4,48,120801,17031,188230
Hanover,7,1989,2,5,60,130788,9987,188230
Hanover,7,1989,2,6,72,136451,5663,188230
Hanover,7,1989,2,7,84,141224,4773,188230
Hanover,7,1989,2,8,96,144542,3318,188230
Hanover,7,1989,2,9,108,146877,2335,188230
Hanover,7,1990,3,1,12,36401,36401,212815
Hanover,7,1990,3,2,24,85669,49268,212815
Hanover,7,1990,3,3,36,114891,29222,212815
Hanover,7,1990,3,4,48,131947,17056,212815
Hanover,7,1990,3,5,60,142859,10912,212815
Hanover,7,1990,3,6,72,150427,7568,212815
Hanover,7,1990,3,7,84,154656,4229,212815
Hanover,7,1990,3,8,96,157732,3076,212815
Hanover,7,1991,4,1,12,35510,35510,229231
Hanover,7,1991,4,2,24,82134,46624,229231
Hanover,7,1991,4,3,36,107657,25523,229231
Hanover,7,1991,4,4,48,122797,15140,229231
Hanover,7,1991,4,5,60,132656,9859,229231
Hanover,7,1991,4,6,72,137941,5285,229231
Hanover,7,1991,4,7,84,142000,4059,229231
Hanover,7,1992,5,1,12,32891,32891,222470
Hanover,7,1992,5,2,24,71563,38672,222470
Hanover,7,1992,5,3,36,94223,22660,222470
Hanover,7,1992,5,4,48,108944,14721,222470
Hanover,7,1992,5,5,60,116977,8033,222470
Hanover,7,1992,5,6,72,122608,5631,222470
Hanover,7,1993,6,1,12,31695,31695,232822
Hanover,7,1993,6,2,24,68654,36959,232822
Hanover,7,1993,6,3,36,90780,22126,232822
Hanover,7,1993,6,4,48,103404,12624,232822
Hanover,7,1993,6,5,60,110909,7505,232822
Hanover,7,1994,7,1,12,32081,32081,248622
Hanover,7,1994,7,2,24,69670,37589,248622
Hanover,7,1994,7,3,36,89974,20304,248622
Hanover,7,1994,7,4,48,102148,12174,248622
Hanover,7,1995,8,1,12,30195,30195,250458
Hanover,7,1995,8,2,24,66146,35951,250458
Hanover,7,1995,8,3,36,85270,19124,250458
Hanover,7,1996,9,1,12,33158,33158,229829
Hanover,7,1996,9,2,24,68538,35380,229829
Hanover,7,1997,10,1,12,31110,31110,197134
